"bin","mean_prediction","observed_rate","trials","scenario","model"
1,0.349897401280675,0.335416666666667,1440,"A","input"
2,0.400635084585324,0.395138888888889,1440,"A","input"
3,0.433594752264751,0.434722222222222,1440,"A","input"
4,0.452969421277638,0.4625,1440,"A","input"
5,0.47184351542795,0.471527777777778,1440,"A","input"
6,0.493386432232451,0.490277777777778,1440,"A","input"
7,0.509206181838096,0.519444444444444,1440,"A","input"
8,0.531966340787924,0.523611111111111,1440,"A","input"
9,0.565101939963382,0.540277777777778,1440,"A","input"
10,0.634432634672133,0.647222222222222,1440,"A","input"
1,0.350090184048424,0.342361111111111,1440,"A","conditional"
2,0.400990737683743,0.388194444444444,1440,"A","conditional"
3,0.434736417790171,0.427083333333333,1440,"A","conditional"
4,0.451943785776742,0.445138888888889,1440,"A","conditional"
5,0.472957196731542,0.488888888888889,1440,"A","conditional"
6,0.493348288009775,0.510416666666667,1440,"A","conditional"
7,0.510933767251456,0.505555555555556,1440,"A","conditional"
8,0.531810513160998,0.530555555555556,1440,"A","conditional"
9,0.566650565796762,0.527083333333333,1440,"A","conditional"
10,0.634764048846638,0.654861111111111,1440,"A","conditional"
1,0.347748562794291,0.334027777777778,1440,"A","decomposition"
2,0.398975174621922,0.396527777777778,1440,"A","decomposition"
3,0.434065124867213,0.429861111111111,1440,"A","decomposition"
4,0.454161767885524,0.459027777777778,1440,"A","decomposition"
5,0.475958780615596,0.488194444444444,1440,"A","decomposition"
6,0.497319945385059,0.482638888888889,1440,"A","decomposition"
7,0.511477388076908,0.524305555555556,1440,"A","decomposition"
8,0.536667028868145,0.509722222222222,1440,"A","decomposition"
9,0.570922419803903,0.553472222222222,1440,"A","decomposition"
10,0.636856099568587,0.642361111111111,1440,"A","decomposition"
1,0.341043722278403,0.326388888888889,1440,"B","input"
2,0.40134070888944,0.421527777777778,1440,"B","input"
3,0.430874416220163,0.475694444444444,1440,"B","input"
4,0.450626551946514,0.426388888888889,1440,"B","input"
5,0.482259975737536,0.508333333333333,1440,"B","input"
6,0.502206751922591,0.454861111111111,1440,"B","input"
7,0.525172974868156,0.546527777777778,1440,"B","input"
8,0.55836077741606,0.557638888888889,1440,"B","input"
9,0.59976307481649,0.578472222222222,1440,"B","input"
10,0.655977300771267,0.663888888888889,1440,"B","input"
1,0.336363554127945,0.324305555555556,1440,"B","conditional"
2,0.399439535761294,0.410416666666667,1440,"B","conditional"
3,0.435602451448623,0.444444444444444,1440,"B","conditional"
4,0.461314191873467,0.448611111111111,1440,"B","conditional"
5,0.482363343174289,0.474305555555556,1440,"B","conditional"
6,0.501749969175933,0.511805555555556,1440,"B","conditional"
7,0.538673210523262,0.530555555555556,1440,"B","conditional"
8,0.566532318316537,0.561111111111111,1440,"B","conditional"
9,0.607901571118204,0.595138888888889,1440,"B","conditional"
10,0.664415809858982,0.659027777777778,1440,"B","conditional"
1,0.303679145198932,0.321527777777778,1440,"B","decomposition"
2,0.36760008266104,0.432638888888889,1440,"B","decomposition"
3,0.398719741560953,0.429166666666667,1440,"B","decomposition"
4,0.418507658173992,0.460416666666667,1440,"B","decomposition"
5,0.45484121561464,0.485416666666667,1440,"B","decomposition"
6,0.467739211138076,0.492361111111111,1440,"B","decomposition"
7,0.505953321090018,0.529861111111111,1440,"B","decomposition"
8,0.536664516932415,0.559027777777778,1440,"B","decomposition"
9,0.576872770302369,0.5875,1440,"B","decomposition"
10,0.631756700463588,0.661805555555556,1440,"B","decomposition"
1,0.340528720406787,0.325694444444444,1440,"C","input"
2,0.385778011898175,0.392361111111111,1440,"C","input"
3,0.405894064954119,0.404166666666667,1440,"C","input"
4,0.435234688628328,0.439583333333333,1440,"C","input"
5,0.459458321601363,0.45,1440,"C","input"
6,0.476900742145857,0.455555555555556,1440,"C","input"
7,0.50046032576571,0.481944444444444,1440,"C","input"
8,0.528696222110245,0.540972222222222,1440,"C","input"
