"scenario","metric","delta_decomposition_minus_conditional_mean","delta_sd","delta_q05","delta_q95","proportion_decomposition_better"
"A","repair_log_loss",-0.00639101017775266,0.00161574370681753,-0.0089486189310718,-0.00372175837395142,1
"A","harm_log_loss",-0.00123378316157582,0.000637719615909363,-0.00228799042288204,-0.000423298098089953,0.975
"A","final_log_loss",-0.000137126474115156,0.000148535771183957,-0.000377157132997102,7.87895747889675e-05,0.825
"A","final_brier",-6.62016466318584e-05,7.14499831900206e-05,-0.000184754599353709,3.76855298154967e-05,0.82
"A","decision_regret",-0.00657090285494051,0.00129230693267231,-0.008730381211068,-0.00464411651585574,1
"A","optimal_choice_rate",0.70975,0.0871452688232716,0.583333333333333,0.85,1
"B","repair_log_loss",0.0569469359142107,0.00939697678686082,0.0425846357905714,0.072901111218008,0
"B","harm_log_loss",0.00258706751091293,0.00105289123277764,0.00114285020076582,0.00443235288899255,0
"B","final_log_loss",0.00389617068131091,0.00101483311893558,0.00240435990428935,0.00577565303974243,0
"B","final_brier",0.00188786430929063,0.000491172602270158,0.00116715152980296,0.00279062863694285,0
"B","decision_regret",0.00348355848013688,0.00227531715918897,0.000529856800303197,0.00841701230280898,0
"B","optimal_choice_rate",-0.162416666666667,0.0509265764809639,-0.25,-0.0833333333333334,0
"C","repair_log_loss",0.0147792249054302,0.00427679559170658,0.0086527365896546,0.0223974226732968,0
"C","harm_log_loss",0.00222383196435658,0.00156528412141014,-0.00011878657596463,0.00477748830792196,0.06
"C","final_log_loss",0.00021991200769197,0.000265537332134906,-0.000200440041334621,0.000670784556151099,0.18
"C","final_brier",0.000106810113295161,0.000128376706630687,-8.61482847872533e-05,0.000320769953478839,0.185
"C","decision_regret",0.00409379868899541,0.00096886620677775,0.00272614115361386,0.00561238047229137,0
"C","optimal_choice_rate",-0.47225,0.0753972820437635,-0.583333333333333,-0.35,0
"D","repair_log_loss",-0.00414975055491907,0.00132046887973026,-0.00626038871274364,-0.00192624381963818,1
"D","harm_log_loss",-0.000677108572214486,0.000514053361192627,-0.00152392071762615,0.000147545209075463,0.9
"D","final_log_loss",-0.000150016479067734,0.00016005138740704,-0.00042739724730409,0.000110905866245198,0.825
"D","final_brier",-7.21792490799848e-05,7.68239932346757e-05,-0.000203048561237003,5.47696587915896e-05,0.825
"D","decision_regret",4.71598255563205e-06,0.000253206649834825,-0.00041458492337671,0.000310528600594088,0.46
"D","optimal_choice_rate",-0.07325,0.0591654575571834,-0.166666666666667,0.0174999999999998,0.09
