"replication","scenario","model","repair_multiplier","harm_multiplier","repair_log_loss","harm_log_loss","final_log_loss","final_brier","decision_regret","optimal_choice_rate"
1,"A","input",0.0542551224295033,0.00387054054544075,0.10612092957752,0.0291705647624392,0.678224135615895,0.242675400659332,0.00705236541395935,0.1
1,"A","conditional",0.15251803846065,0.0594884415332278,0.106249868093209,0.0288370499117411,0.678289166264678,0.242706338658971,0.0068497116411622,0.15
1,"A","decomposition",0.791816961389446,0.273145538840987,0.101077052308105,0.0277908163494706,0.678346126192243,0.242735812365846,7.24268875013367e-05,0.916666666666667
2,"A","input",0.0636649751664843,0.00484956875852701,0.112602301906864,0.030647370627432,0.669847041621438,0.238583869699265,0.00649703951649514,0.2
2,"A","conditional",0.176520480207906,0.070224409995685,0.110911854690009,0.0301168004294635,0.669888709993091,0.238602675166692,0.00637532722873149,0.216666666666667
2,"A","decomposition",0.94500216252963,0.329674423087208,0.107040408800963,0.0291193767496357,0.669846956043329,0.238588525209745,1.11437600649383e-05,0.95
3,"A","input",0.0478758197335212,0.00433946060010136,0.0865632110643097,0.0344958187392714,0.675099267161663,0.241101829435672,0.00587696113294052,0.25
3,"A","conditional",0.142889430326958,0.060978868538114,0.0858319695929919,0.0346136660334277,0.675095408820679,0.241098434414654,0.00564056649374574,0.25
3,"A","decomposition",0.83892986219005,0.321546942401465,0.0817776627738113,0.0328799462052503,0.675089398978292,0.241095009498208,8.23777055911884e-05,0.9
4,"A","input",0.0492587707292288,0.00415581339060631,0.103800282523836,0.0272377640722544,0.674650868410052,0.240873356982465,0.00730326230563848,0.05
4,"A","conditional",0.152636259702551,0.0649835230647486,0.102949284215033,0.0269142518904373,0.674442407682387,0.24077357742316,0.00694406287384763,0.1
4,"A","decomposition",0.826956319502872,0.355138582365996,0.0956453264265767,0.0259290216893237,0.674306764880527,0.240708352410371,0.000162886569986857,0.783333333333333
5,"A","input",0.056986424545478,0.00510109488754341,0.115169386677647,0.0356992556600342,0.669486585209087,0.238358151045074,0.00760013691403988,0.216666666666667
5,"A","conditional",0.149796286260815,0.0733438745338733,0.115054377138195,0.0346946636129263,0.669488990723682,0.238361337180187,0.00744038347621321,0.233333333333333
