"scenario","model","repair_multiplier_mean","repair_multiplier_sd","harm_multiplier_mean","harm_multiplier_sd","repair_log_loss_mean","repair_log_loss_sd","harm_log_loss_mean","harm_log_loss_sd","final_log_loss_mean","final_log_loss_sd","final_brier_mean","final_brier_sd","decision_regret_mean","decision_regret_sd","optimal_choice_rate_mean","optimal_choice_rate_sd"
"A","input",0.05453177896424,0.00699053728499387,0.00378073350858369,0.000661622949157695,0.106763004434219,0.0105823539174292,0.029092697194997,0.00528607876642325,0.675898069751726,0.00400542769221625,0.241512347328805,0.00193827761870491,0.00689397753801604,0.00129806138656065,0.182,0.0652136462239666
"A","conditional",0.155138454449777,0.0166962032849086,0.056848342901963,0.0094695164960678,0.106321550128281,0.0104531327520883,0.0287452690182122,0.00521373856019499,0.675884173213189,0.00399040124938087,0.241505597154496,0.00193105830874208,0.00665169902971193,0.00128560850481762,0.21725,0.0705600452723286
"A","decomposition",0.840250235601739,0.0508932949976279,0.278976309557831,0.0437714207259532,0.0999305399505283,0.00995408124355043,0.0275114858566364,0.00496627000245725,0.675747046739074,0.00403098546219003,0.241439395507864,0.00194967912742327,8.07961747714225e-05,6.12520199725182e-05,0.927,0.0371199332870653
"B","input",0.303552047880587,0.018344113904486,0.0187245263181568,0.00179305704052108,0.344977200189397,0.0195559841057287,0.0920145255544466,0.00862497367941081,0.680502855496435,0.003592352847267,0.243753582780533,0.00175213086393004,0.00329044571979225,0.00119956317666112,0.71625,0.0731258962731465
"B","conditional",0.838482453935891,0.0184539248387044,0.279333949117189,0.0198064388852815,0.333318434946678,0.0186745670413,0.0908036652832417,0.00857290499629779,0.678917529122106,0.00357593289519569,0.242980690097799,0.00174119323586075,2.80865527711375e-07,1.0737774770593e-06,0.997833333333333,0.00653769724014479
"B","decomposition",0.999923894360787,0,0.904762659955589,0.079923558191887,0.390265370860889,0.0255916455214273,0.0933907327941546,0.00891349058073293,0.682813699803416,0.00369248408451119,0.244868554407089,0.00180459159646787,0.00348383934566459,0.00227521223710033,0.835416666666667,0.0495354606810107
"C","input",0.0890856342897007,0.00943816712299523,0.00578576890901332,0.000928815818017564,0.149798424041401,0.014989448311419,0.037576054685902,0.00590053116737037,0.67742607439632,0.00402309192278045,0.242254075436916,0.00195260124177384,0.00115877733211452,0.000411118811705732,0.660833333333333,0.0772169097064364
"C","conditional",0.245349587328899,0.0233704891502556,0.0867830490584984,0.0128854998933341,0.147582448783184,0.0145946183889323,0.0371238499792008,0.00580126351787059,0.677328339463398,0.00399258066376259,0.242207304820459,0.00193857246734651,0.000263279590734653,0.000217856323101283,0.9115,0.0452485535951894
"C","decomposition",0.84065547036742,0.0694273459093842,0.292967959646416,0.0412291673373961,0.162361673688614,0.0160717689813091,0.0393476819435574,0.00622782101805174,0.67754825147109,0.00399934939612335,0.242314114933754,0.00194103295633927,0.00435707827973006,0.000999085787008402,0.43925,0.0719997809259028
"D","input",0.0896540026549967,0.00908148464660207,0.00580271070270675,0.000947981774125038,0.150847395044602,0.0153584950598814,0.0382035185622143,0.00584633833315722,0.677372975867627,0.00342011620122065,0.242227898799123,0.00166070091151164,0.00112193941864665,0.00046137936979381,0.664583333333333,0.0792366128452437
"D","conditional",0.245837702714544,0.0218232439201906,0.0869695208520793,0.0132438298698192,0.148552432018879,0.0147769645563992,0.0377475292846586,0.00575556445837684,0.677271344916772,0.00341241379224992,0.242179253035373,0.00165721994343431,0.00026084111613942,0.000230525854495584,0.914,0.048925928814172
"D","decomposition",0.841702483513592,0.037330039076119,0.282404569148496,0.0342516762770268,0.14440268146396,0.0143384319643669,0.0370704207124441,0.00558020313527836,0.677121328437704,0.00343693518107297,0.242107073786293,0.00166901926111753,0.000265557098695052,0.000112192421930403,0.84075,0.0489902934813423
