status	file	url	note
failed	boyd_2019_rethinking_natural_kinds_reference_truth.pdf	https://link.springer.com/content/pdf/10.1007/s11229-019-02138-4.pdf	not_pdf:HTML document text, ASCII text, with very long lines (27613)
downloaded	martinez_2019_usefulness_drives_representations_to_truth.pdf	https://philpapers.org/archive/MARUDR-3.pdf	PDF
downloaded	grindrod_2024_large_language_models_linguistic_intentionality.pdf	https://centaur.reading.ac.uk/117589/3/117589%20VoR.pdf	PDF
downloaded	mallory_2026_teleosemantics_for_neural_word_embeddings.pdf	https://fintanmallory.com/wp-content/uploads/2026/02/teleosemantics-for-neural-word-embeddings-online-version.pdf	PDF
downloaded	hoffman_2015_interface_theory_perception.pdf	https://newdualism.org/papers/D.Hoffman/Hoffman-interface.pdf	PDF
downloaded	hoffman_2015_interface_theory_perception_springer.pdf	https://link.springer.com/content/pdf/10.3758/s13423-015-0890-8.pdf	PDF
failed	hoffman_2016_interface_theory_perception_current_directions.pdf	https://journals.sagepub.com/doi/pdf/10.1177/0963721416639702	curl_failed
downloaded	pedersen_2012_recent_work_on_alethic_pluralism.pdf	https://www.nikolajpedersen.com/papers/AlethicPluralismRecentWork.pdf	PDF
downloaded	gamester_2021_shopping_for_truth_pluralism.pdf	https://link.springer.com/content/pdf/10.1007/s11229-020-02792-z.pdf	PDF
downloaded	price_2023_global_expressivism_and_alethic_pluralism.pdf	https://philpapers.org/archive/PRIGEA.pdf	PDF
downloaded	alethic_pluralism_role_reference_metaphysics_truth.pdf	https://nul.repository.guildhe.ac.uk/id/eprint/788/1/Alethic%20Pluralism%20and%20the%20Role%20of%20Reference%20in%20the%20Metaphysics%20of%20Truth.pdf	PDF
failed	slater_2011_different_kind_property_cluster_kind.pdf	https://philsci-archive.pitt.edu/8598/1/spc-kinds.pdf	not_pdf:HTML document text, Unicode text, UTF-8 text, with very long lines (3013)
failed	brigandt_2020_kinds_without_natural_kinds.pdf	https://philsci-archive.pitt.edu/17369/1/How_to_philosophically_tackle_kinds_without_talking_about_natural_kinds.pdf	not_pdf:HTML document text, Unicode text, UTF-8 text, with very long lines (3013)
downloaded	lemeire_2018_no_purely_epistemic_theory_naturalness_kinds.pdf	https://philarchive.org/archive/LEMNPE.pdf	PDF
failed	bender_gebru_mcmillan_major_mitchell_2021_stochastic_parrots.pdf	https://upload.wikimedia.org/wikipedia/commons/1/1e/On_the_Dangers_of_Stochastic_Parrots_Can_Language_Models_Be_Too_Big.pdf	curl_failed
downloaded	sep_pluralist_theories_of_truth.html	https://plato.stanford.edu/entries/truth-pluralist/	HTML
downloaded	iep_pluralist_theories_of_truth.html	https://iep.utm.edu/plur-tru/	HTML
downloaded	sep_natural_kinds.html	https://plato.stanford.edu/entries/natural-kinds/	HTML
failed	slater_2015_natural_kindness.pdf	https://philsci-archive.pitt.edu/9776/4/spc-kinds.pdf	not_pdf:HTML document text, Unicode text, UTF-8 text, with very long lines (3013)
failed	brigandt_2020_kinds_without_natural_kinds.pdf	https://philsci-archive.pitt.edu/17369/1/How_to_philosophically_tackle_kinds_without_talking_about_natural_kinds.pdf	not_pdf:HTML document text, Unicode text, UTF-8 text, with very long lines (3013)
downloaded	bender_gebru_mcmillan_major_mitchell_2021_stochastic_parrots.pdf	https://web.cs.ucdavis.edu/~koehl/Teaching/ECS089/PDF_files/Gebru_21.pdf	PDF
downloaded	wyatt_lynch_2016_from_one_to_many_recent_work_on_truth.pdf	https://philpapers.org/archive/WYAFOT.pdf	PDF
downloaded	pedersen_2006_mixed_inferences_alethic_pluralism.pdf	https://www.nikolajpedersen.com/papers/Monist-mixed-final.pdf	PDF
downloaded	crane_2021_two_approaches_to_natural_kinds.pdf	https://philpapers.org/archive/CRATAT-11.pdf	PDF
downloaded	magnus_2015_taxonomy_ontology_natural_kinds.pdf	https://philpapers.org/archive/MAGTOA.pdf	PDF
downloaded	khalidi_2015_natural_kinds_crosscutting_categories.pdf	https://philarchive.org/archive/KHANKA-4	PDF
downloaded	chalmers_2024_thought_sensory_grounding_llms.pdf	https://arxiv.org/pdf/2408.09605	PDF
downloaded	piantadosi_hill_2022_meaning_without_reference_llms.pdf	https://arxiv.org/pdf/2208.02957	PDF
downloaded	merrill_wu_naka_kim_linzen_2024_semantics_next_word_prediction_entailment.pdf	https://aclanthology.org/2024.findings-acl.161.pdf	PDF
failed	pepp_2025_reference_without_intentions_llms.pdf	https://www.tandfonline.com/doi/pdf/10.1080/0020174X.2024.2448482	curl_failed
downloaded	slater_2015_natural_kindness.pdf	https://joelvelasco.net/teaching/5330%28spring2021%29/slater15-natural_kindness.pdf	PDF
downloaded	brigandt_2020_kinds_without_natural_kinds.pdf	https://sites.ualberta.ca/~brigandt/How_to_philosophically_tackle_kinds_without_talking_about_natural_kinds.pdf	PDF
